model-1602332482, 1602332485.284, 0.85, 0.1978, 0.58, 0.2322
model-1602332482, 1602332485.331, 0.72, 0.2044, 0.72, 0.2071
model-1602332482, 1602332485.374, 0.8, 0.1917, 0.82, 0.1803
model-1602332482, 1602332485.421, 0.79, 0.1881, 0.81, 0.1723
model-1602332482, 1602332485.47, 0.87, 0.1628, 0.83, 0.1701
model-1602332482, 1602332485.516, 0.77, 0.1819, 0.82, 0.1682
model-1602332482, 1602332485.562, 0.69, 0.1962, 0.84, 0.1602
model-1602332482, 1602332485.61, 0.83, 0.1655, 0.82, 0.1534
model-1602332482, 1602332485.654, 0.88, 0.1498, 0.76, 0.164
model-1602332482, 1602332485.699, 0.75, 0.184, 0.8, 0.1536
model-1602332482, 1602332485.745, 0.81, 0.1589, 0.77, 0.1516
model-1602332482, 1602332485.79, 0.89, 0.1254, 0.85, 0.1475
model-1602332482, 1602332485.835, 0.9, 0.1247, 0.81, 0.1459
model-1602332482, 1602332485.88, 0.89, 0.1183, 0.77, 0.1606
model-1602332482, 1602332485.925, 0.76, 0.1581, 0.74, 0.1678
model-1602332482, 1602332485.97, 0.68, 0.1897, 0.82, 0.1503
model-1602332482, 1602332486.013, 0.84, 0.1253, 0.8, 0.1393
model-1602332482, 1602332486.055, 0.83, 0.148, 0.78, 0.1554
model-1602332482, 1602332486.098, 0.8, 0.142, 0.81, 0.1379
model-1602332482, 1602332486.143, 0.81, 0.1326, 0.86, 0.1251
model-1602332482, 1602332486.186, 0.78, 0.1409, 0.82, 0.1337
model-1602332482, 1602332486.228, 0.82, 0.1212, 0.83, 0.1388
model-1602332482, 1602332486.272, 0.8, 0.1363, 0.8, 0.1464
model-1602332482, 1602332486.318, 0.8, 0.1472, 0.83, 0.1202
model-1602332482, 1602332486.36, 0.87, 0.1141, 0.79, 0.1562
model-1602332482, 1602332486.404, 0.84, 0.1186, 0.8, 0.1435
model-1602332482, 1602332486.447, 0.86, 0.13, 0.82, 0.1346
model-1602332482, 1602332486.498, 0.78, 0.1628, 0.81, 0.1218
model-1602332482, 1602332486.543, 0.75, 0.1611, 0.85, 0.1263
model-1602332482, 1602332486.588, 0.79, 0.1335, 0.83, 0.125
model-1602332482, 1602332486.63, 0.83, 0.1251, 0.83, 0.1209
model-1602332482, 1602332486.675, 0.82, 0.1218, 0.82, 0.1282
model-1602332482, 1602332486.719, 0.8, 0.1254, 0.81, 0.1157
model-1602332482, 1602332486.761, 0.75, 0.1526, 0.76, 0.1679
model-1602332482, 1602332486.804, 0.83, 0.1225, 0.75, 0.1591
model-1602332482, 1602332486.847, 0.77, 0.1468, 0.85, 0.1095
model-1602332482, 1602332486.89, 0.84, 0.1226, 0.72, 0.1688
model-1602332482, 1602332486.935, 0.81, 0.1447, 0.85, 0.1145
model-1602332482, 1602332486.976, 0.79, 0.1591, 0.82, 0.1297
model-1602332482, 1602332487.027, 0.79, 0.1357, 0.78, 0.1438
model-1602332482, 1602332487.071, 0.87, 0.0987, 0.77, 0.1559
model-1602332482, 1602332487.115, 0.76, 0.1676, 0.82, 0.1258
model-1602332482, 1602332487.159, 0.81, 0.1316, 0.77, 0.1514
model-1602332482, 1602332487.204, 0.85, 0.1181, 0.71, 0.1791
model-1602332482, 1602332487.248, 0.8, 0.1677, 0.76, 0.1568
model-1602332482, 1602332487.29, 0.77, 0.1769, 0.79, 0.1369
model-1602332482, 1602332487.334, 0.81, 0.1185, 0.79, 0.1237
model-1602332482, 1602332487.378, 0.84, 0.0916, 0.72, 0.1802
model-1602332482, 1602332487.421, 0.82, 0.1382, 0.8, 0.1504
model-1602332482, 1602332487.466, 0.78, 0.1574, 0.82, 0.1366
model-1602332482, 1602332487.509, 0.8, 0.1173, 0.84, 0.118
model-1602332482, 1602332487.552, 0.84, 0.1228, 0.8, 0.1351
model-1602332482, 1602332487.595, 0.74, 0.1672, 0.84, 0.1245
model-1602332482, 1602332487.638, 0.79, 0.1473, 0.81, 0.1255
model-1602332482, 1602332487.683, 0.78, 0.1409, 0.86, 0.1162
model-1602332482, 1602332487.728, 0.82, 0.1311, 0.81, 0.1411
model-1602332482, 1602332487.77, 0.87, 0.1107, 0.81, 0.1387
model-1602332482, 1602332487.813, 0.79, 0.1665, 0.78, 0.1509
model-1602332482, 1602332487.859, 0.83, 0.1346, 0.81, 0.1372
model-1602332482, 1602332487.902, 0.74, 0.1779, 0.82, 0.1159
model-1602332482, 1602332487.945, 0.8, 0.155, 0.86, 0.12
model-1602332482, 1602332487.991, 0.79, 0.1492, 0.82, 0.1243
model-1602332482, 1602332488.033, 0.89, 0.0824, 0.84, 0.1084
model-1602332482, 1602332488.076, 0.85, 0.1089, 0.84, 0.1152
model-1602332482, 1602332488.123, 0.8, 0.1393, 0.82, 0.1155
model-1602332482, 1602332488.166, 0.85, 0.1142, 0.75, 0.1375
model-1602332482, 1602332488.209, 0.81, 0.1357, 0.89, 0.1011
model-1602332482, 1602332488.255, 0.9, 0.1229, 0.85, 0.1262
model-1602332482, 1602332488.298, 0.84, 0.1368, 0.85, 0.1274
model-1602332482, 1602332488.341, 0.88, 0.0932, 0.84, 0.1261
model-1602332482, 1602332488.387, 0.8, 0.1553, 0.81, 0.1364
model-1602332482, 1602332488.429, 0.79, 0.1531, 0.76, 0.1487
model-1602332482, 1602332488.476, 0.82, 0.129, 0.75, 0.1454
model-1602332482, 1602332488.52, 0.76, 0.1685, 0.81, 0.1345
model-1602332482, 1602332488.566, 0.82, 0.124, 0.84, 0.1292
model-1602332482, 1602332488.609, 0.83, 0.118, 0.79, 0.1454
model-1602332482, 1602332488.654, 0.82, 0.1168, 0.84, 0.1281
model-1602332482, 1602332488.699, 0.83, 0.127, 0.84, 0.122
model-1602332482, 1602332488.742, 0.82, 0.1184, 0.81, 0.1352
model-1602332482, 1602332488.787, 0.82, 0.1349, 0.85, 0.1205
